bid_no,end_date
GEM/2025/B/6208342,2025-05-17
GEM/2025/B/6162854,2025-05-20
GEM/2025/B/6053925,2025-05-31
GEM/2025/B/6041459,2025-05-09
GEM/2025/B/6170254,2025-05-09
GEM/2025/B/6146850,2025-05-09
GEM/2025/B/6168171,2025-05-09
GEM/2025/B/6182285,2025-05-10
GEM/2025/B/6181044,2025-05-10
GEM/2025/B/6170889,2025-05-10
GEM/2025/B/6171863,2025-05-10
GEM/2025/B/6119705,2025-05-10
GEM/2025/B/6160395,2025-05-12
GEM/2025/B/6176605,2025-05-12
GEM/2025/B/6093138,2025-05-12
GEM/2025/B/6156326,2025-05-12
GEM/2025/B/6060083,2025-05-12
GEM/2025/B/6143920,2025-05-13
GEM/2025/B/6157129,2025-05-13
GEM/2025/B/6059319,2025-05-13
GEM/2025/B/6109499,2025-05-13
GEM/2025/B/6171041,2025-05-13
GEM/2025/B/6177354,2025-05-13
GEM/2025/B/6160284,2025-05-13
GEM/2025/B/6055186,2025-05-14
GEM/2025/B/6163344,2025-05-14
GEM/2025/B/6170034,2025-05-15
GEM/2025/B/6125799,2025-05-15
GEM/2025/B/6182726,2025-05-15
GEM/2025/B/6180597,2025-05-15
GEM/2025/B/6172076,2025-05-15
GEM/2025/B/6186305,2025-05-15
GEM/2025/B/6077196,2025-05-16
GEM/2025/B/6198944,2025-05-16
GEM/2025/B/6202151,2025-05-16
GEM/2025/B/6198944,2025-05-16
GEM/2025/B/6178782,2025-05-16
GEM/2025/B/6202469,2025-05-16
GEM/2025/B/6175165,2025-05-17
GEM/2025/B/6175649,2025-05-19
GEM/2025/B/5997579,2025-05-19
GEM/2025/B/6175764,2025-05-19
GEM/2025/B/6207972,2025-05-19
GEM/2025/B/6147337,2025-05-20
GEM/2025/B/6199648,2025-05-20
GEM/2025/B/6204750,2025-05-20
GEM/2025/B/6025291,2025-05-24
GEM/2025/B/6193655,2025-05-26
GEM/2025/B/6207551,2025-05-29
GEM/2025/B/6211753,2025-05-29
GEM/2025/B/6212645,2025-05-30
GEM/2025/B/6181823,2025-06-09
GEM/2025/B/6092623,2025-05-20
GEM/2025/B/6205245,2025-05-27
GEM/2025/B/6196142,2025-05-13
GEM/2025/B/6187967,2025-05-27
GEM/2025/B/6092599,2025-05-15
GEM/2025/B/6161770,2025-05-16
